"basin","stream_order","reachid","absolute_cv","basin_cv","cv_ratio_to_basin","anomaly_pct"
"Kuskokwim",3,5727,0.168665788036829,0.244254784482295,0.690532176859182,-30.9467823140818
"Kuskokwim",3,5956,0.251084824462267,0.244254784482295,1.02796276844464,2.79627684446351
"Kuskokwim",3,5969,0.264129668917315,0.244254784482295,1.08136947850232,8.13694785023176
"Kuskokwim",3,6039,0.261822952049759,0.244254784482295,1.07192558215267,7.19255821526701
"Kuskokwim",3,6129,0.239086115999579,0.244254784482295,0.978839028706559,-2.11609712934407
"Kuskokwim",3,6158,0.313001084795893,0.244254784482295,1.28145323932675,28.1453239326747
"Kuskokwim",3,6229,0.176258592753485,0.244254784482295,0.721617769441326,-27.8382230558674
"Kuskokwim",3,6269,0.263030977965015,0.244254784482295,1.07687134367712,7.68713436771231
"Kuskokwim",3,6349,0.259285052454995,0.244254784482295,1.0615352039247,6.15352039246957
"Kuskokwim",3,6379,0.23970915892554,0.244254784482295,0.981389819788428,-1.86101802115723
"Kuskokwim",3,6386,0.321130244618015,0.244254784482295,1.31473471563171,31.4734715631714
"Kuskokwim",3,6430,0.25754204662322,0.244254784482295,1.05439918881871,5.43991888187065
"Kuskokwim",3,6483,0.26003776087094,0.244254784482295,1.06461685662411,6.46168566241101
"Kuskokwim",3,6641,0.206424735247468,0.244254784482295,0.845120539542314,-15.4879460457686
"Kuskokwim",3,6712,0.176742274285409,0.244254784482295,0.723598003044319,-27.6401996955681
"Kuskokwim",3,6721,0.268882468378291,0.244254784482295,1.10082784641536,10.0827846415355
"Kuskokwim",3,6813,0.243914416327061,0.244254784482295,0.998606503631217,-0.139349636878316
"Kuskokwim",3,6853,0.277634196455749,0.244254784482295,1.13665817046001,13.6658170460011
"Kuskokwim",3,7013,0.261702678391898,0.244254784482295,1.07143317149993,7.1433171499935
"Kuskokwim",3,7029,0.281636233624482,0.244254784482295,1.15304285327069,15.3042853270688
"Kuskokwim",3,7087,0.181082498102531,0.244254784482295,0.741367250947985,-25.8632749052015
"Kuskokwim",3,7182,0.209648347158286,0.244254784482295,0.858318282700754,-14.1681717299246
"Kuskokwim",3,7222,0.270753252635615,0.244254784482295,1.10848699733553,10.8486997335527
"Kuskokwim",3,7230,0.225762359949425,0.244254784482295,0.924290430698973,-7.57095693010267
"Kuskokwim",3,7359,0.287181562707164,0.244254784482295,1.17574590530889,17.5745905308892
"Kuskokwim",3,7362,0.285378798173533,0.244254784482295,1.16836523296115,16.8365232961154
"Kuskokwim",3,7395,0.195482548360753,0.244254784482295,0.800322289592335,-19.9677710407665
"Kuskokwim",3,7427,0.213821826872301,0.244254784482295,0.875404865970192,-12.4595134029808
"Kuskokwim",3,7491,0.269485607315168,0.244254784482295,1.10329714886179,10.3297148861795
"Kuskokwim",3,7560,0.191703589786838,0.244254784482295,0.784850909648133,-21.5149090351867
"Kuskokwim",3,7640,0.330289004059058,0.244254784482295,1.35223146092763,35.2231460927634
"Kuskokwim",3,7647,0.162045553839694,0.244254784482295,0.663428371252397,-33.6571628747603
"Kuskokwim",3,7915,0.331579995615269,0.244254784482295,1.35751689088942,35.7516890889416
