tributary_group_id,year,trib_total_assignment_rescale,trib_total_assignment_individuals,n_reaches,mean_str_order,min_str_order,max_str_order,stream_order
3_14205_4,2017,0.010770212092757284,1427.010021441969,19,4,4,4,4
3_14226_4,2017,0.0023422642370810897,310.34064235629603,5,4,4,4,4
3_14227_3,2017,6.845918449818517e-4,90.70568109271542,2,3,3,3,3
3_14233_4,2017,6.634059068794855e-4,87.89862903790431,1,4,4,4,4
3_14235_4,2017,0.010770212092757284,1427.010021441969,20,4,4,4,4
3_14251_4,2017,0.003062932147414035,405.82625780377,6,4,4,4,4
3_14267_4,2017,0.0013419923552844726,177.8086191057715,2,4,4,4,4
3_14273_3,2017,0.0016394627067669164,217.22225079578936,3,3,3,3,3
3_14277_4,2017,0.002193613612557953,290.64502920947854,5,4,4,4,4
3_14280_4,2017,0.002027456834784294,268.62992078157987,3,4,4,4,4
3_14293_4,2017,0.001628227383852444,215.73361545091348,4,4,4,4,4
3_14316_4,2017,0.0010626072596583674,140.79121147569504,3,4,4,4,4
3_14317_4,2017,0.0027145104169720167,359.66177220712433,4,4,4,4,4
3_14318_3,2017,3.329669293894447e-4,44.11678627638387,3,3,3,3,3
3_14321_4,2017,0.011623100017463375,1540.0142599138271,21,4,4,4,4
3_14340_4,2017,0.0034021522229371187,450.77156093027656,5,4,4,4,4
3_14345_4,2017,0.0010626072596583674,140.79121147569504,2,4,4,4,4
3_14347_4,2017,0.003788868416979723,502.0099097761454,7,4,4,4,4
3_1436_3,2017,2.816746947291566e-4,37.32077035283434,1,3,3,3,3
3_14384_4,2017,0.012470294296818138,1652.2641131512157,22,4,4,4,4
3_14387_4,2017,0.0034021522229371187,450.77156093027656,6,4,4,4,4
3_14394_4,2017,0.004090790727221381,542.0134081939242,7,4,4,4,4
3_14399_4,2017,5.317411709850627e-4,70.45357819083686,1,4,4,4,4
3_14408_4,2017,0.004519243986261396,598.78175120369,8,4,4,4,4
3_14431_4,2017,0.013310500599654431,1763.5880874518134,23,4,4,4,4
3_14451_4,2017,5.317411709850627e-4,70.45357819083686,1,4,4,4,4
3_14466_3,2017,9.081492128513734e-4,120.32613810595558,5,3,3,3,3
3_14469_4,2017,0.004791342152647095,634.8336698571297,8,4,4,4,4
3_14475_3,2017,2.102579095088133e-4,27.85833197827973,3,3,3,3,3
3_1447_3,2017,0,0,4,3,3,3,3
3_14505_3,2017,5.687856855675292e-4,75.36182819495534,2,3,3,3,3
3_1453_3,2017,6.057411600668328e-5,8.025828074421508,1,3,3,3,3
3_14563_4,2017,0.005504309446670347,729.2989844460345,9,4,4,4,4
3_14579_4,2017,4.685223519263334e-4,62.07733754083147,1,4,4,4,4
3_14584_4,2017,0.006218986543689312,823.9908410926593,10,4,4,4,4
3_14595_4,2017,9.543460690972915e-4,126.44703677111474,2,4,4,4,4
3_14597_4,2017,4.685223519263334e-4,62.07733754083147,1,4,4,4,4
3_14599_3,2017,0.0021701288096301384,287.53338676075475,7,3,3,3,3
3_1459_4,2017,5.305986596984264e-5,7.030220001540271,1,4,4,4,4
3_14626_4,2017,0.0014409910186034525,190.92554600088306,4,4,4,4,4
3_14630_4,2017,0.0014409910186034525,190.92554600088306,3,4,4,4,4
3_14644_3,2017,4.379271537069839e-4,58.02359615756053,3,3,3,3,3
3_14655_4,2017,0.0019517840839166681,258.60358398262287,5,4,4,4,4
3_14670_4,2017,0.0024630486952864363,326.3440999306717,6,4,4,4,4
3_146_4,2017,0,0,15,4,4,4,4
3_14713_3,2017,0,0,1,3,3,3,3
3_14762_4,2017,0.0029751625884186683,394.1971423151199,7,4,4,4,4
3_14781_3,2017,0.0010170178624987294,134.75079870963165,6,3,3,3,3
3_14784_4,2017,0.0035111789957277275,465.217172217941,8,4,4,4,4
3_14789_4,2017,0.004051596472352241,536.8203262007826,9,4,4,4,4
3_14812_4,2017,0.004684513923576595,620.6793568182045,10,4,4,4,4
3_14833_4,2017,0.005320140775171972,704.8973721471856,11,4,4,4,4
3_1484_4,2017,0.0016193627541432694,214.5590874729666,9,4,4,4,4
3_14868_3,2017,3.073637881082885e-4,40.72447246919579,5,3,3,3,3
3_14884_3,2017,3.931450401524795e-4,52.09014524004293,1,3,3,3,3
3_14906_4,2017,0.006934975349306441,918.8564938817061,11,4,4,4,4
3_1491_4,2017,5.305986596984264e-5,7.030220001540271,1,4,4,4,4
3_14921_4,2017,5.310627543362994e-4,70.36369069854233,1,4,4,4,4
3_1492_3,2017,0,0,2,3,3,3,3
